FILE,SEASON,EPISODE,TEXT
01x01.txt,1,1,
01x02.txt,1,2,
01x03.txt,1,3,
01x04.txt,1,4,
01x05.txt,1,5,
01x06.txt,1,6,
01x07.txt,1,7,
01x08.txt,1,8,
01x09.txt,1,9,
01x10.txt,1,10,
02x01.txt,2,1,
02x02.txt,2,2,
02x03.txt,2,3,
02x04.txt,2,4,
02x05.txt,2,5,
02x06.txt,2,6,
02x07.txt,2,7,
02x08.txt,2,8,
02x09.txt,2,9,
02x10.txt,2,10,
03x01.txt,3,1,
03x02.txt,3,2,
03x03.txt,3,3,
03x04.txt,3,4,
03x05.txt,3,5,
03x06.txt,3,6,
03x07.txt,3,7,
03x08.txt,3,8,
03x09.txt,3,9,
03x10.txt,3,10,
